epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.519,1.28002,1.40849,1.40813,0.685,0.75043,0.71589,0.45732,1.24396,1.36346,1.31178,0.000474945,0.000474945,0.000474945
2,209.931,1.25238,1.12235,1.36896,0.8309,0.79667,0.8335,0.57383,1.16052,1.02517,1.28418,0.00094186,0.00094186,0.00094186
3,314.063,1.24543,1.07112,1.35195,0.8562,0.78863,0.86651,0.62756,1.06991,1.00343,1.21102,0.00139934,0.00139934,0.00139934
4,418.085,1.20936,1.00638,1.33579,0.83799,0.8237,0.85847,0.59598,1.18661,0.94902,1.28253,0.00138656,0.00138656,0.00138656
5,522.075,1.17296,0.93554,1.31104,0.8865,0.80666,0.8717,0.62928,1.09844,0.92546,1.21828,0.00137241,0.00137241,0.00137241
6,626.116,1.13868,0.88562,1.29142,0.87073,0.8811,0.90309,0.66655,1.03731,0.72711,1.20186,0.00135826,0.00135826,0.00135826
7,730.21,1.13144,0.85625,1.28214,0.89768,0.85154,0.90727,0.66753,1.01634,0.71118,1.14514,0.00134412,0.00134412,0.00134412
8,834.247,1.10885,0.81509,1.26995,0.90372,0.88572,0.92245,0.69453,0.98941,0.68273,1.15186,0.00132997,0.00132997,0.00132997
9,938.308,1.09009,0.77971,1.25617,0.87126,0.85329,0.89874,0.66802,1.01211,0.7104,1.16273,0.00131582,0.00131582,0.00131582
10,1042.28,1.06921,0.77198,1.24414,0.91416,0.87496,0.92745,0.71153,0.94617,0.67511,1.11931,0.00130168,0.00130168,0.00130168
11,1146.35,1.06853,0.75604,1.23792,0.90806,0.91345,0.93791,0.71027,0.95358,0.63653,1.12218,0.00128753,0.00128753,0.00128753
12,1250.38,1.04495,0.71485,1.22064,0.89227,0.89636,0.93006,0.70969,0.95418,0.65627,1.10723,0.00127338,0.00127338,0.00127338
13,1354.34,1.03814,0.70669,1.22121,0.90782,0.91271,0.93795,0.72281,0.92906,0.59666,1.09289,0.00125923,0.00125923,0.00125923
14,1458.39,1.02753,0.68883,1.20821,0.91854,0.90296,0.93838,0.72005,0.94761,0.58701,1.10805,0.00124509,0.00124509,0.00124509
15,1562.45,1.02839,0.6778,1.20608,0.90599,0.90599,0.93689,0.72362,0.93976,0.59895,1.09076,0.00123094,0.00123094,0.00123094
16,1666.57,1.01263,0.67295,1.20905,0.91958,0.89813,0.93929,0.73008,0.92126,0.58424,1.09241,0.00121679,0.00121679,0.00121679
17,1770.62,1.01616,0.64781,1.19944,0.93507,0.89884,0.94155,0.73531,0.90995,0.58845,1.07172,0.00120265,0.00120265,0.00120265
18,1874.67,1.00862,0.64801,1.1991,0.90703,0.90697,0.93564,0.72193,0.93212,0.58863,1.09577,0.0011885,0.0011885,0.0011885
19,1978.75,0.98728,0.63818,1.18469,0.92013,0.91409,0.94883,0.74848,0.89631,0.55282,1.07133,0.00117435,0.00117435,0.00117435
20,2082.77,0.98367,0.62543,1.18031,0.92021,0.91256,0.95117,0.73766,0.90302,0.56043,1.05831,0.00116021,0.00116021,0.00116021
21,2186.72,0.98867,0.62327,1.18409,0.92722,0.9159,0.94942,0.74487,0.89027,0.53739,1.05482,0.00114606,0.00114606,0.00114606
22,2290.73,0.97608,0.61558,1.17804,0.91915,0.92305,0.95233,0.74579,0.88679,0.53446,1.06415,0.00113191,0.00113191,0.00113191
23,2394.74,0.97286,0.60968,1.17816,0.91934,0.91896,0.95046,0.74441,0.90612,0.56099,1.06545,0.00111776,0.00111776,0.00111776
24,2498.81,0.95648,0.59335,1.16261,0.91639,0.91389,0.94495,0.73887,0.89701,0.55094,1.08006,0.00110362,0.00110362,0.00110362
25,2602.79,0.95612,0.58587,1.17054,0.94055,0.91832,0.95318,0.75997,0.86349,0.50854,1.05092,0.00108947,0.00108947,0.00108947
26,2706.87,0.95545,0.58144,1.15704,0.93262,0.92468,0.95342,0.75014,0.88169,0.5177,1.05246,0.00107532,0.00107532,0.00107532
27,2810.9,0.94497,0.57603,1.15504,0.92541,0.9352,0.94951,0.74804,0.88955,0.52894,1.06589,0.00106118,0.00106118,0.00106118
28,2915.02,0.94286,0.57468,1.1535,0.91473,0.9327,0.95176,0.75279,0.86534,0.52496,1.05202,0.00104703,0.00104703,0.00104703
29,3019.05,0.94254,0.57246,1.15515,0.91919,0.93456,0.95379,0.75374,0.87474,0.50485,1.04953,0.00103288,0.00103288,0.00103288
30,3123.07,0.92669,0.55213,1.14365,0.92512,0.93209,0.95309,0.75611,0.87509,0.52684,1.05169,0.00101873,0.00101873,0.00101873
31,3227.12,0.9217,0.54413,1.14427,0.93112,0.9302,0.9539,0.76298,0.87503,0.50821,1.05456,0.00100459,0.00100459,0.00100459
32,3331.26,0.92696,0.55181,1.13935,0.93033,0.93018,0.95596,0.76682,0.85524,0.5085,1.03015,0.00099044,0.00099044,0.00099044
33,3435.31,0.91329,0.53578,1.12972,0.92924,0.93562,0.9574,0.76841,0.86483,0.48116,1.04703,0.000976293,0.000976293,0.000976293
34,3539.28,0.9054,0.53393,1.12883,0.92708,0.94027,0.95787,0.76892,0.86911,0.49845,1.04551,0.000962146,0.000962146,0.000962146
35,3643.26,0.8954,0.52811,1.12955,0.93569,0.93395,0.95994,0.76838,0.86034,0.48838,1.05304,0.000947999,0.000947999,0.000947999
36,3747.3,0.89384,0.51867,1.12179,0.9339,0.9373,0.95681,0.76503,0.86746,0.4939,1.04036,0.000933851,0.000933851,0.000933851
37,3851.33,0.89024,0.51624,1.11759,0.93901,0.93916,0.96385,0.77366,0.86436,0.49511,1.03395,0.000919704,0.000919704,0.000919704
38,3955.45,0.90293,0.52099,1.1238,0.94146,0.93232,0.96344,0.77676,0.85486,0.48589,1.03367,0.000905557,0.000905557,0.000905557
39,4059.49,0.89199,0.51328,1.11232,0.92867,0.94109,0.9632,0.77159,0.84687,0.47578,1.02386,0.00089141,0.00089141,0.00089141
40,4163.61,0.87656,0.50813,1.11027,0.92272,0.94305,0.96087,0.77213,0.84866,0.47865,1.03783,0.000877263,0.000877263,0.000877263
