epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.98556,2.00772,1.76671,1.74198,0.62834,0.46881,0.42059,0.20325,2.02835,1.61346,1.752,0.000463798,0.000463798,0.000463798
2,17.59,1.8715,1.54118,1.57845,0.63243,0.49392,0.43096,0.21842,1.94477,1.75793,1.67887,0.000921517,0.000921517,0.000921517
3,26.065,1.78943,1.47325,1.52915,0.64893,0.48957,0.43799,0.22361,1.89739,1.65,1.64976,0.00136037,0.00136037,0.00136037
4,34.3674,1.79566,1.53081,1.5359,0.63422,0.49797,0.44733,0.23109,1.90101,1.55889,1.64417,0.00134412,0.00134412,0.00134412
5,42.6609,1.76297,1.44504,1.51313,0.65005,0.49869,0.45394,0.24336,1.877,1.60064,1.63155,0.00131582,0.00131582,0.00131582
6,50.9873,1.69743,1.40174,1.45875,0.65601,0.49745,0.46225,0.24121,1.87408,1.52894,1.60662,0.00128753,0.00128753,0.00128753
7,59.2896,1.72491,1.42362,1.4837,0.687,0.47519,0.46286,0.2467,1.87681,1.56558,1.62849,0.00125923,0.00125923,0.00125923
8,67.6092,1.69675,1.40328,1.46678,0.67321,0.47674,0.45677,0.24385,1.87428,1.54041,1.61073,0.00123094,0.00123094,0.00123094
9,75.883,1.68347,1.37365,1.46048,0.68201,0.48005,0.46357,0.25016,1.84906,1.5516,1.61547,0.00120265,0.00120265,0.00120265
10,84.2462,1.68476,1.4054,1.45733,0.66755,0.48666,0.46711,0.25313,1.84001,1.53116,1.60571,0.00117435,0.00117435,0.00117435
11,92.5509,1.63767,1.30347,1.42967,0.69503,0.4743,0.47211,0.25365,1.8502,1.56005,1.61299,0.00114606,0.00114606,0.00114606
12,100.897,1.70992,1.40499,1.46781,0.65759,0.49488,0.4605,0.25048,1.85781,1.49789,1.58967,0.00111776,0.00111776,0.00111776
13,109.22,1.64567,1.36327,1.4345,0.7019,0.48271,0.47287,0.25672,1.85944,1.53561,1.60264,0.00108947,0.00108947,0.00108947
14,117.555,1.66591,1.36543,1.45117,0.69502,0.4884,0.4819,0.26446,1.83456,1.52685,1.58569,0.00106118,0.00106118,0.00106118
15,125.9,1.66748,1.32283,1.4351,0.70611,0.47612,0.47646,0.25465,1.86484,1.52252,1.59017,0.00103288,0.00103288,0.00103288
16,134.199,1.64438,1.36531,1.4319,0.72121,0.476,0.47599,0.25388,1.83842,1.50738,1.5774,0.00100459,0.00100459,0.00100459
17,142.489,1.6259,1.3633,1.43616,0.69362,0.48897,0.47635,0.25975,1.83884,1.52731,1.60249,0.000976293,0.000976293,0.000976293
18,150.811,1.63073,1.30434,1.42423,0.67298,0.51163,0.47351,0.25922,1.8436,1.52478,1.59769,0.000947999,0.000947999,0.000947999
19,159.169,1.61567,1.30707,1.41706,0.63281,0.52982,0.47014,0.25475,1.84879,1.47917,1.57866,0.000919704,0.000919704,0.000919704
20,167.507,1.61108,1.31335,1.40404,0.68587,0.4865,0.47656,0.26028,1.82695,1.49734,1.56972,0.00089141,0.00089141,0.00089141
21,175.788,1.6128,1.33662,1.41934,0.66945,0.49894,0.47612,0.25807,1.85372,1.50659,1.58806,0.000863116,0.000863116,0.000863116
22,184.136,1.58769,1.25189,1.40379,0.65099,0.51512,0.4863,0.26011,1.85227,1.50317,1.60458,0.000834822,0.000834822,0.000834822
23,192.45,1.59,1.30946,1.40447,0.6665,0.4974,0.46808,0.25898,1.83017,1.49026,1.56552,0.000806528,0.000806528,0.000806528
24,200.805,1.56791,1.27211,1.3886,0.62826,0.52547,0.48693,0.26392,1.85249,1.48764,1.59694,0.000778233,0.000778233,0.000778233
25,209.129,1.57615,1.25131,1.39019,0.62886,0.53,0.48224,0.26392,1.8357,1.51364,1.59512,0.000749939,0.000749939,0.000749939
26,217.49,1.56658,1.25122,1.38627,0.65362,0.50569,0.48457,0.26169,1.83575,1.4711,1.58164,0.000721645,0.000721645,0.000721645
27,225.809,1.57349,1.28343,1.39415,0.65674,0.4989,0.47514,0.25817,1.84208,1.51802,1.59382,0.000693351,0.000693351,0.000693351
28,234.14,1.59836,1.27557,1.41042,0.66231,0.50976,0.47981,0.26088,1.84374,1.50022,1.59215,0.000665057,0.000665057,0.000665057
29,242.466,1.57445,1.25786,1.38287,0.69621,0.47708,0.47959,0.26172,1.82813,1.49776,1.57975,0.000636762,0.000636762,0.000636762
