epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.2849,1.23934,1.91134,1.35186,0.72595,0.72902,0.75499,0.4576,1.37352,1.54369,1.33972,0.000473564,0.000473564,0.000473564
2,109.311,1.20011,1.22555,1.28851,0.66296,0.68945,0.64539,0.40242,1.32057,1.77189,1.35543,0.000940493,0.000940493,0.000940493
3,162.973,1.1874,1.10099,1.27475,0.70003,0.66587,0.7248,0.4511,1.31657,1.5559,1.32311,0.00139799,0.00139799,0.00139799
4,216.952,1.18964,1.03854,1.27295,0.85484,0.81069,0.85589,0.61334,1.10395,1.00771,1.17454,0.00138656,0.00138656,0.00138656
5,271.011,1.15826,0.94257,1.25888,0.8957,0.80818,0.88096,0.5992,1.15616,0.94251,1.18434,0.00137241,0.00137241,0.00137241
6,325.21,1.14402,0.90845,1.25217,0.87108,0.84728,0.90573,0.64633,1.10686,0.86949,1.16314,0.00135826,0.00135826,0.00135826
7,379.157,1.12359,0.86648,1.23232,0.87324,0.83052,0.88267,0.64252,1.03673,0.81915,1.13305,0.00134412,0.00134412,0.00134412
8,432.959,1.08898,0.82541,1.21964,0.8795,0.85649,0.90398,0.67103,1.03361,0.77688,1.11514,0.00132997,0.00132997,0.00132997
9,486.773,1.08562,0.80641,1.21372,0.88032,0.82957,0.88051,0.65409,1.03369,0.815,1.11962,0.00131582,0.00131582,0.00131582
10,540.622,1.07904,0.77525,1.20971,0.87061,0.82523,0.88282,0.65193,1.03945,0.89196,1.11613,0.00130168,0.00130168,0.00130168
11,594.426,1.07,0.74666,1.19458,0.89195,0.85887,0.90676,0.67575,1.03141,0.7719,1.10724,0.00128753,0.00128753,0.00128753
12,648.298,1.04879,0.72697,1.18999,0.89022,0.89602,0.92007,0.69126,1.02812,0.72667,1.10585,0.00127338,0.00127338,0.00127338
13,702.08,1.04544,0.72475,1.18537,0.88829,0.8895,0.9217,0.7099,0.97062,0.70858,1.05959,0.00125923,0.00125923,0.00125923
14,755.871,1.05103,0.71372,1.18467,0.93289,0.87322,0.9298,0.70245,0.96323,0.65678,1.0611,0.00124509,0.00124509,0.00124509
15,809.557,1.03527,0.70453,1.18254,0.9101,0.88041,0.928,0.70104,0.97332,0.65495,1.08601,0.00123094,0.00123094,0.00123094
16,863.334,1.02313,0.67235,1.17389,0.90969,0.90282,0.94061,0.72543,0.93893,0.64109,1.03867,0.00121679,0.00121679,0.00121679
17,917.028,1.01072,0.66788,1.16577,0.92261,0.89374,0.93735,0.71786,0.94788,0.64121,1.05241,0.00120265,0.00120265,0.00120265
18,970.784,1.01255,0.67299,1.1664,0.91194,0.8965,0.93122,0.72469,0.95621,0.63329,1.06013,0.0011885,0.0011885,0.0011885
19,1024.56,1.00588,0.65936,1.15769,0.9163,0.89142,0.93184,0.72255,0.94271,0.63937,1.03779,0.00117435,0.00117435,0.00117435
20,1078.39,1.00333,0.65816,1.15737,0.89515,0.91647,0.9412,0.72161,0.93751,0.5949,1.05382,0.00116021,0.00116021,0.00116021
21,1132.14,1.00057,0.63437,1.15443,0.91251,0.92321,0.9441,0.74109,0.90769,0.57931,1.02843,0.00114606,0.00114606,0.00114606
22,1185.92,0.98571,0.6343,1.1546,0.91399,0.90392,0.94756,0.73946,0.91962,0.5859,1.02796,0.00113191,0.00113191,0.00113191
23,1239.67,1.0034,0.63522,1.15907,0.91921,0.90416,0.94657,0.74311,0.91796,0.59127,1.04162,0.00111776,0.00111776,0.00111776
24,1293.48,0.98619,0.62034,1.1462,0.89073,0.89513,0.92791,0.72232,0.91161,0.61457,1.03257,0.00110362,0.00110362,0.00110362
25,1347.27,0.97492,0.61799,1.14651,0.91296,0.90859,0.93988,0.74361,0.89676,0.59635,1.02341,0.00108947,0.00108947,0.00108947
26,1401.07,0.9724,0.60781,1.14469,0.91846,0.91058,0.94887,0.75021,0.89017,0.57668,1.01608,0.00107532,0.00107532,0.00107532
27,1454.83,0.97278,0.60161,1.13568,0.92363,0.91529,0.949,0.73237,0.91728,0.57568,1.01989,0.00106118,0.00106118,0.00106118
28,1508.6,0.96705,0.60315,1.13605,0.93729,0.89616,0.94735,0.75173,0.87281,0.56502,1.00866,0.00104703,0.00104703,0.00104703
29,1562.41,0.95876,0.59298,1.1294,0.9281,0.91012,0.94773,0.74326,0.88681,0.55452,1.01275,0.00103288,0.00103288,0.00103288
30,1616.19,0.95237,0.58063,1.12783,0.91985,0.91036,0.9495,0.75515,0.88917,0.56177,1.0082,0.00101873,0.00101873,0.00101873
31,1669.94,0.96311,0.58255,1.133,0.9271,0.90977,0.94271,0.75015,0.89305,0.57438,1.03084,0.00100459,0.00100459,0.00100459
32,1723.75,0.94568,0.57078,1.12071,0.93188,0.90755,0.94921,0.74368,0.91513,0.55506,1.03076,0.00099044,0.00099044,0.00099044
33,1777.52,0.93177,0.56323,1.11587,0.93777,0.92467,0.95033,0.75879,0.86882,0.51736,1.00019,0.000976293,0.000976293,0.000976293
34,1831.31,0.94172,0.55976,1.12088,0.91738,0.92699,0.95043,0.74839,0.91231,0.55311,1.02143,0.000962146,0.000962146,0.000962146
35,1885.09,0.93177,0.56183,1.12001,0.9304,0.93145,0.95302,0.76034,0.88362,0.53912,1.00938,0.000947999,0.000947999,0.000947999
36,1938.88,0.92711,0.552,1.11054,0.9276,0.92966,0.95434,0.76018,0.89251,0.53925,1.02053,0.000933851,0.000933851,0.000933851
37,1992.66,0.92792,0.55778,1.11111,0.92563,0.9296,0.95464,0.76193,0.87432,0.51382,1.00895,0.000919704,0.000919704,0.000919704
38,2046.45,0.91958,0.54966,1.10997,0.9351,0.91816,0.95334,0.76978,0.8687,0.52517,0.99688,0.000905557,0.000905557,0.000905557
