epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.4903,1.26612,1.92878,1.40666,0.70203,0.71066,0.7376,0.50414,1.15915,1.61391,1.30442,0.000474945,0.000474945,0.000474945
2,124.565,1.23148,1.32101,1.35296,0.7858,0.74919,0.80764,0.53235,1.28008,1.37605,1.29378,0.00094186,0.00094186,0.00094186
3,179.715,1.22461,1.15072,1.33258,0.83801,0.74909,0.82195,0.57069,1.10727,1.1173,1.26692,0.00139934,0.00139934,0.00139934
4,234.715,1.20597,1.07972,1.32839,0.83531,0.76699,0.8174,0.57262,1.16431,1.04856,1.28467,0.00138656,0.00138656,0.00138656
5,289.726,1.17579,1.00077,1.30446,0.82138,0.82772,0.85859,0.60344,1.14203,0.94949,1.2314,0.00137241,0.00137241,0.00137241
6,344.803,1.15093,0.93831,1.28936,0.87541,0.83992,0.88559,0.64037,1.08398,0.84717,1.18354,0.00135826,0.00135826,0.00135826
7,399.841,1.13641,0.89529,1.27655,0.86313,0.84701,0.88271,0.65453,1.00075,0.78389,1.15258,0.00134412,0.00134412,0.00134412
8,454.666,1.11641,0.86839,1.26363,0.87212,0.86071,0.8857,0.6458,1.03503,0.77656,1.14766,0.00132997,0.00132997,0.00132997
9,509.767,1.10383,0.83005,1.24998,0.84709,0.8861,0.89218,0.6679,0.99001,0.75697,1.11674,0.00131582,0.00131582,0.00131582
10,564.805,1.08006,0.80865,1.23919,0.90551,0.8699,0.91562,0.68828,0.97795,0.68846,1.11037,0.00130168,0.00130168,0.00130168
11,619.682,1.08038,0.79642,1.2314,0.909,0.88209,0.92926,0.68994,0.98853,0.68357,1.12279,0.00128753,0.00128753,0.00128753
12,674.639,1.06209,0.75848,1.2216,0.85412,0.86392,0.88996,0.64506,1.03579,0.85484,1.14623,0.00127338,0.00127338,0.00127338
13,729.538,1.06155,0.75385,1.22288,0.91016,0.89311,0.92672,0.70487,0.93005,0.65732,1.07615,0.00125923,0.00125923,0.00125923
14,784.485,1.03866,0.73523,1.20705,0.93287,0.89078,0.93088,0.7096,0.94246,0.62291,1.07456,0.00124509,0.00124509,0.00124509
15,839.394,1.05049,0.72532,1.20868,0.90076,0.88132,0.91223,0.69325,0.96309,0.64637,1.09654,0.00123094,0.00123094,0.00123094
16,894.51,1.0308,0.71715,1.20721,0.91972,0.88981,0.94081,0.72967,0.91471,0.59564,1.05766,0.00121679,0.00121679,0.00121679
17,949.502,1.04106,0.6995,1.19979,0.90237,0.88725,0.93497,0.71389,0.9296,0.66442,1.0785,0.00120265,0.00120265,0.00120265
18,1004.39,1.02949,0.69739,1.20188,0.9049,0.90415,0.93878,0.72874,0.92126,0.58883,1.06861,0.0011885,0.0011885,0.0011885
19,1059.33,1.00909,0.68418,1.18742,0.92067,0.89268,0.93894,0.72812,0.91424,0.58991,1.06112,0.00117435,0.00117435,0.00117435
20,1114.26,1.01056,0.67147,1.18511,0.92743,0.88162,0.93806,0.71573,0.94911,0.60044,1.06748,0.00116021,0.00116021,0.00116021
21,1169.18,1.00892,0.67187,1.18392,0.922,0.91235,0.94516,0.73136,0.91012,0.55238,1.04725,0.00114606,0.00114606,0.00114606
22,1224.21,1.00025,0.65828,1.18156,0.9181,0.91033,0.9445,0.73424,0.89629,0.56831,1.03829,0.00113191,0.00113191,0.00113191
23,1279.13,0.99836,0.64725,1.17718,0.9359,0.91125,0.95148,0.7397,0.89602,0.55547,1.05064,0.00111776,0.00111776,0.00111776
