epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.9218,1.63116,2.74112,1.78179,0.75074,0.75481,0.79362,0.40542,1.65904,1.3716,1.71038,0.000414439,0.000414439,0.000414439
2,55.1278,1.42544,1.27828,1.60966,0.82557,0.84497,0.87531,0.51519,1.51307,0.95228,1.57262,0.000810535,0.000810535,0.000810535
3,82.2572,1.33831,1.06823,1.54145,0.83586,0.88392,0.91039,0.55694,1.44621,0.82276,1.49527,0.00118601,0.00118601,0.00118601
4,109.317,1.29072,0.96732,1.50596,0.86294,0.91347,0.92506,0.57508,1.34768,0.75571,1.44256,0.00115719,0.00115719,0.00115719
5,136.384,1.26152,0.94019,1.48795,0.8915,0.88115,0.91363,0.58094,1.33026,0.7688,1.44162,0.00112625,0.00112625,0.00112625
6,163.481,1.22737,0.85341,1.45451,0.88712,0.88783,0.91105,0.60182,1.27379,0.74993,1.37655,0.00109531,0.00109531,0.00109531
7,190.589,1.23167,0.86992,1.45528,0.8683,0.92395,0.92325,0.60085,1.265,0.73981,1.37077,0.00106437,0.00106437,0.00106437
8,217.644,1.19277,0.84101,1.43895,0.89894,0.91173,0.92839,0.60988,1.23837,0.74128,1.39407,0.00103344,0.00103344,0.00103344
9,244.697,1.1599,0.79973,1.4089,0.89347,0.91003,0.93086,0.61437,1.21995,0.70628,1.36094,0.0010025,0.0010025,0.0010025
10,271.717,1.17271,0.80459,1.42603,0.86041,0.91947,0.92404,0.62535,1.17608,0.69044,1.33896,0.000971562,0.000971562,0.000971562
11,298.761,1.15229,0.78323,1.40557,0.8838,0.89994,0.92047,0.61237,1.22228,0.72026,1.33554,0.000940625,0.000940625,0.000940625
12,325.756,1.14053,0.77092,1.39093,0.88729,0.9043,0.92994,0.63638,1.17752,0.69675,1.31143,0.000909688,0.000909688,0.000909688
13,353.099,1.12134,0.75931,1.38598,0.89916,0.90187,0.9358,0.63353,1.16569,0.69081,1.33256,0.00087875,0.00087875,0.00087875
14,380.176,1.11547,0.73882,1.38758,0.91001,0.93043,0.9354,0.64318,1.16315,0.67656,1.31597,0.000847813,0.000847813,0.000847813
15,407.284,1.11144,0.73213,1.36583,0.88231,0.92493,0.92971,0.6393,1.15742,0.67255,1.29834,0.000816875,0.000816875,0.000816875
16,434.323,1.09634,0.71969,1.35796,0.89917,0.87866,0.92755,0.64321,1.14475,0.66506,1.29953,0.000785938,0.000785938,0.000785938
17,461.431,1.09631,0.72671,1.37305,0.9075,0.90424,0.93389,0.64196,1.1236,0.62713,1.27824,0.000755,0.000755,0.000755
18,488.512,1.09108,0.72977,1.36527,0.86907,0.90443,0.93196,0.65133,1.18557,0.65686,1.30813,0.000724062,0.000724062,0.000724062
19,515.585,1.07075,0.70081,1.35094,0.8812,0.90662,0.93553,0.64791,1.17374,0.6666,1.31834,0.000693125,0.000693125,0.000693125
20,542.599,1.07199,0.7046,1.34783,0.88258,0.92657,0.93107,0.65117,1.14729,0.65681,1.30655,0.000662188,0.000662188,0.000662188
21,569.634,1.05565,0.67882,1.33512,0.89662,0.91919,0.93425,0.65391,1.13205,0.66431,1.29264,0.00063125,0.00063125,0.00063125
22,596.693,1.02663,0.66532,1.31815,0.88465,0.91947,0.93023,0.66019,1.14577,0.64487,1.31722,0.000600313,0.000600313,0.000600313
23,623.751,1.03252,0.66268,1.31903,0.88985,0.90262,0.94082,0.65813,1.15775,0.69452,1.31524,0.000569375,0.000569375,0.000569375
24,650.796,1.00929,0.65231,1.30905,0.90083,0.89761,0.94108,0.66701,1.12715,0.62535,1.29267,0.000538438,0.000538438,0.000538438
25,677.924,1.01922,0.65481,1.3071,0.9049,0.91016,0.94045,0.66056,1.14754,0.63495,1.31075,0.0005075,0.0005075,0.0005075
26,704.989,1.02119,0.66116,1.31004,0.87798,0.93005,0.9396,0.66274,1.11202,0.626,1.2844,0.000476562,0.000476562,0.000476562
27,732.048,0.9769,0.62121,1.28744,0.88527,0.9297,0.94697,0.66604,1.13853,0.62766,1.31575,0.000445625,0.000445625,0.000445625
28,759.088,0.98357,0.6313,1.29014,0.89711,0.90258,0.9423,0.66645,1.13825,0.64125,1.32128,0.000414688,0.000414688,0.000414688
29,786.109,1.0096,0.64569,1.3112,0.88535,0.92877,0.9463,0.6708,1.12833,0.63688,1.30384,0.00038375,0.00038375,0.00038375
30,813.396,0.97384,0.62107,1.28281,0.89928,0.91615,0.94017,0.67004,1.10431,0.64352,1.28828,0.000352812,0.000352812,0.000352812
31,840.464,0.88749,0.49572,1.2519,0.85858,0.93005,0.9372,0.66558,1.15041,0.66434,1.31813,0.000321875,0.000321875,0.000321875
32,867.372,0.86127,0.46749,1.23516,0.89615,0.89421,0.94054,0.67414,1.13748,0.63733,1.29607,0.000290937,0.000290937,0.000290937
33,894.308,0.85399,0.45832,1.22851,0.87409,0.91077,0.94108,0.67358,1.10772,0.63542,1.28928,0.00026,0.00026,0.00026
34,921.121,0.83248,0.43429,1.21005,0.87196,0.93628,0.94212,0.67275,1.11791,0.63519,1.30437,0.000229063,0.000229063,0.000229063
35,947.975,0.82628,0.43264,1.21782,0.88416,0.90359,0.94241,0.67395,1.11954,0.63851,1.28295,0.000198125,0.000198125,0.000198125
36,974.848,0.82082,0.43495,1.20124,0.89611,0.89586,0.94324,0.67947,1.10849,0.62771,1.26442,0.000167188,0.000167188,0.000167188
37,1001.76,0.81621,0.43463,1.21096,0.91508,0.90742,0.94474,0.68375,1.10876,0.61101,1.27821,0.00013625,0.00013625,0.00013625
38,1028.65,0.79619,0.42051,1.19639,0.91519,0.88701,0.94677,0.68568,1.10711,0.59363,1.27872,0.000105312,0.000105312,0.000105312
39,1055.52,0.80167,0.42751,1.19536,0.88745,0.90487,0.94618,0.68745,1.10178,0.61144,1.2746,7.4375e-05,7.4375e-05,7.4375e-05
40,1082.41,0.79639,0.42274,1.1859,0.89995,0.89829,0.94589,0.68837,1.10906,0.62239,1.28392,4.34375e-05,4.34375e-05,4.34375e-05
