epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.9058,1.96734,1.61015,1.75104,0.63463,0.46183,0.41913,0.19899,2.0841,1.88984,1.8186,0.000470066,0.000470066,0.000470066
2,31.4722,1.86782,1.53788,1.61393,0.65799,0.47984,0.44223,0.22319,1.99139,1.70385,1.78505,0.00092766,0.00092766,0.00092766
3,47.0575,1.79633,1.47208,1.58018,0.71109,0.46582,0.45955,0.23835,2.00631,1.69102,1.81544,0.00136639,0.00136639,0.00136639
4,62.5731,1.75646,1.42704,1.55738,0.6549,0.4877,0.45135,0.2399,1.98674,1.71928,1.76115,0.00134412,0.00134412,0.00134412
5,78.1137,1.73141,1.40865,1.53429,0.66552,0.49531,0.46425,0.24818,1.93092,1.69334,1.72749,0.00131582,0.00131582,0.00131582
6,93.6098,1.70407,1.39786,1.50685,0.69988,0.4802,0.46411,0.24929,1.93785,1.69622,1.70975,0.00128753,0.00128753,0.00128753
7,109.111,1.67474,1.33408,1.49297,0.7088,0.47528,0.47323,0.25611,1.91305,1.71422,1.71783,0.00125923,0.00125923,0.00125923
8,124.628,1.6763,1.36573,1.49292,0.6915,0.47966,0.47247,0.25667,1.90535,1.65129,1.67973,0.00123094,0.00123094,0.00123094
9,140.16,1.67181,1.33833,1.47684,0.70169,0.46998,0.47485,0.25195,1.93975,1.70373,1.69343,0.00120265,0.00120265,0.00120265
10,155.64,1.64429,1.31526,1.47238,0.65656,0.5058,0.46961,0.25693,1.91493,1.71955,1.70217,0.00117435,0.00117435,0.00117435
11,171.158,1.6631,1.3564,1.49525,0.6515,0.50927,0.47371,0.25421,1.90925,1.65723,1.70064,0.00114606,0.00114606,0.00114606
12,186.611,1.62029,1.29505,1.46174,0.61367,0.53204,0.47759,0.2564,1.90515,1.7063,1.68316,0.00111776,0.00111776,0.00111776
13,202.072,1.60419,1.29745,1.44557,0.69784,0.47773,0.47348,0.25769,1.87806,1.65603,1.66407,0.00108947,0.00108947,0.00108947
14,217.569,1.61401,1.31083,1.44593,0.67635,0.5079,0.49061,0.26315,1.87974,1.63401,1.66634,0.00106118,0.00106118,0.00106118
15,233.076,1.61268,1.25655,1.43727,0.68493,0.49839,0.48182,0.25701,1.93752,1.69834,1.72123,0.00103288,0.00103288,0.00103288
16,248.555,1.581,1.25587,1.43332,0.6832,0.49912,0.47572,0.26281,1.88923,1.64124,1.69735,0.00100459,0.00100459,0.00100459
17,264.044,1.58045,1.25851,1.43595,0.68132,0.50012,0.47248,0.25884,1.93063,1.70064,1.7185,0.000976293,0.000976293,0.000976293
18,279.53,1.56218,1.26748,1.43935,0.59679,0.5397,0.47623,0.2575,1.90869,1.67536,1.6895,0.000947999,0.000947999,0.000947999
19,295.32,1.56231,1.24491,1.42661,0.6308,0.51948,0.47638,0.2599,1.90651,1.66655,1.71194,0.000919704,0.000919704,0.000919704
20,310.865,1.53156,1.20466,1.40583,0.62252,0.53078,0.47196,0.25734,1.92352,1.70819,1.72501,0.00089141,0.00089141,0.00089141
21,326.361,1.5449,1.25698,1.41743,0.67099,0.50631,0.47688,0.26305,1.92004,1.67476,1.73037,0.000863116,0.000863116,0.000863116
22,341.882,1.53048,1.2154,1.41714,0.67468,0.50316,0.46537,0.25729,1.91917,1.67967,1.72096,0.000834822,0.000834822,0.000834822
23,357.377,1.54629,1.22768,1.41897,0.65145,0.51739,0.48154,0.26228,1.92099,1.63306,1.72311,0.000806528,0.000806528,0.000806528
24,372.875,1.50286,1.18883,1.39126,0.6375,0.51581,0.47528,0.25799,1.94152,1.71793,1.74363,0.000778233,0.000778233,0.000778233
25,388.55,1.48897,1.17298,1.38513,0.67454,0.49506,0.47286,0.25601,1.9297,1.70032,1.74035,0.000749939,0.000749939,0.000749939
26,404.043,1.49979,1.1815,1.38849,0.66019,0.50387,0.46647,0.25347,1.9464,1.71445,1.73744,0.000721645,0.000721645,0.000721645
27,419.544,1.51237,1.18116,1.38354,0.65072,0.50778,0.4735,0.25973,1.92203,1.70063,1.69484,0.000693351,0.000693351,0.000693351
28,435.056,1.50308,1.23006,1.39354,0.66147,0.50486,0.47287,0.25588,1.92794,1.69199,1.69487,0.000665057,0.000665057,0.000665057
29,450.543,1.47469,1.18608,1.3707,0.65195,0.51862,0.47566,0.25519,1.93618,1.71082,1.71491,0.000636762,0.000636762,0.000636762
