epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.1019,1.61064,3.24984,1.88091,0.73958,0.71935,0.76824,0.40126,1.65469,1.33335,1.83096,0.000414439,0.000414439,0.000414439
2,67.6027,1.39662,1.22064,1.615,0.77258,0.90419,0.87294,0.53477,1.39409,0.85105,1.49275,0.000810535,0.000810535,0.000810535
3,95.0312,1.31542,1.00273,1.52229,0.78922,0.92378,0.88122,0.57355,1.31811,0.77586,1.39466,0.00118601,0.00118601,0.00118601
4,122.441,1.2689,0.91617,1.48539,0.85327,0.91071,0.91672,0.58703,1.3151,0.70973,1.35503,0.00115719,0.00115719,0.00115719
5,150.259,1.26813,0.91123,1.48,0.83785,0.90836,0.89982,0.56934,1.33127,0.75214,1.35037,0.00112625,0.00112625,0.00112625
6,178.21,1.22622,0.83779,1.44212,0.8609,0.8994,0.90511,0.58944,1.25741,0.75262,1.30544,0.00109531,0.00109531,0.00109531
7,206.094,1.23042,0.85544,1.44386,0.84699,0.92246,0.92025,0.60602,1.26629,0.72353,1.33979,0.00106437,0.00106437,0.00106437
8,233.878,1.195,0.81666,1.42183,0.88847,0.91038,0.93275,0.61924,1.24375,0.67617,1.32435,0.00103344,0.00103344,0.00103344
9,261.685,1.17683,0.7802,1.39837,0.86541,0.91849,0.92888,0.60801,1.24283,0.65684,1.32021,0.0010025,0.0010025,0.0010025
10,289.414,1.16371,0.78805,1.40171,0.86852,0.91396,0.92707,0.62059,1.21476,0.69736,1.2858,0.000971562,0.000971562,0.000971562
11,317.002,1.14038,0.7656,1.37943,0.8239,0.92877,0.92315,0.61727,1.1934,0.65961,1.28184,0.000940625,0.000940625,0.000940625
12,344.487,1.12637,0.74405,1.36335,0.87051,0.92122,0.92474,0.65061,1.12911,0.65724,1.24749,0.000909688,0.000909688,0.000909688
13,371.937,1.10869,0.74987,1.36176,0.91524,0.90931,0.93893,0.64593,1.12012,0.64848,1.21222,0.00087875,0.00087875,0.00087875
14,399.36,1.11126,0.72217,1.36279,0.88432,0.92877,0.93255,0.65268,1.13254,0.64666,1.22576,0.000847813,0.000847813,0.000847813
15,426.842,1.10697,0.71713,1.34369,0.8932,0.88035,0.9274,0.64611,1.16132,0.69454,1.25515,0.000816875,0.000816875,0.000816875
16,454.246,1.0964,0.70645,1.33492,0.84082,0.92506,0.9235,0.6464,1.16524,0.65525,1.24466,0.000785938,0.000785938,0.000785938
17,481.752,1.08256,0.69948,1.33989,0.85866,0.9207,0.93467,0.64824,1.12839,0.65275,1.22898,0.000755,0.000755,0.000755
18,509.215,1.08471,0.71074,1.34416,0.90373,0.88685,0.92876,0.6439,1.15834,0.65816,1.24117,0.000724062,0.000724062,0.000724062
19,536.836,1.06131,0.68516,1.32343,0.92015,0.8744,0.92976,0.64988,1.15091,0.67306,1.24874,0.000693125,0.000693125,0.000693125
20,564.293,1.06935,0.6839,1.32043,0.8796,0.91995,0.934,0.65345,1.1297,0.64525,1.2146,0.000662188,0.000662188,0.000662188
21,591.794,1.05135,0.66217,1.31209,0.88615,0.90775,0.9428,0.65864,1.16198,0.62163,1.22537,0.00063125,0.00063125,0.00063125
22,619.233,1.02328,0.65153,1.29646,0.88727,0.89635,0.93083,0.65882,1.12839,0.64772,1.2421,0.000600313,0.000600313,0.000600313
23,646.847,1.02477,0.65098,1.2918,0.86218,0.92177,0.94025,0.66901,1.12255,0.64334,1.22795,0.000569375,0.000569375,0.000569375
24,674.29,1.00179,0.6413,1.28408,0.91452,0.88312,0.94006,0.67121,1.0981,0.61119,1.18623,0.000538438,0.000538438,0.000538438
25,701.738,1.01005,0.6467,1.28579,0.91066,0.90072,0.94054,0.66061,1.11658,0.61493,1.20325,0.0005075,0.0005075,0.0005075
26,729.153,1.01425,0.64495,1.28503,0.90326,0.90738,0.94943,0.67241,1.07278,0.59337,1.19226,0.000476562,0.000476562,0.000476562
27,756.627,0.97253,0.60724,1.2692,0.88511,0.92029,0.94432,0.66885,1.0848,0.60011,1.19444,0.000445625,0.000445625,0.000445625
28,784.048,0.97703,0.61926,1.26991,0.90997,0.89988,0.93262,0.6558,1.1014,0.6192,1.22768,0.000414688,0.000414688,0.000414688
29,811.43,0.99883,0.63445,1.28592,0.91566,0.90248,0.94565,0.66889,1.08721,0.59232,1.20501,0.00038375,0.00038375,0.00038375
30,839.178,0.95847,0.6012,1.25688,0.88577,0.9318,0.94732,0.67359,1.09633,0.57677,1.19855,0.000352812,0.000352812,0.000352812
31,867.034,0.86549,0.47211,1.21382,0.88691,0.89486,0.9426,0.6748,1.0815,0.6079,1.20748,0.000321875,0.000321875,0.000321875
32,894.71,0.8266,0.44631,1.18538,0.90386,0.9053,0.94689,0.66863,1.10174,0.58758,1.21632,0.000290937,0.000290937,0.000290937
33,922.561,0.83355,0.44243,1.19027,0.91325,0.90008,0.94717,0.67546,1.08386,0.60386,1.19978,0.00026,0.00026,0.00026
34,950.266,0.80356,0.41387,1.16144,0.92264,0.88813,0.94623,0.67957,1.07826,0.59666,1.19612,0.000229063,0.000229063,0.000229063
35,977.971,0.78743,0.41481,1.16863,0.90819,0.90251,0.94095,0.6702,1.07322,0.60363,1.2116,0.000198125,0.000198125,0.000198125
36,1005.58,0.78882,0.41537,1.15549,0.92072,0.91046,0.94112,0.67583,1.07861,0.60326,1.20244,0.000167188,0.000167188,0.000167188
37,1033.19,0.78192,0.4167,1.16547,0.9187,0.90115,0.93848,0.67577,1.05732,0.59523,1.18287,0.00013625,0.00013625,0.00013625
38,1060.84,0.77114,0.39706,1.1564,0.9225,0.89421,0.94507,0.67946,1.06062,0.58632,1.18584,0.000105312,0.000105312,0.000105312
39,1088.37,0.77104,0.40184,1.15369,0.90577,0.9058,0.94676,0.67603,1.06967,0.594,1.19648,7.4375e-05,7.4375e-05,7.4375e-05
40,1115.77,0.75736,0.40149,1.13803,0.91259,0.90479,0.94624,0.67256,1.06775,0.59708,1.20285,4.34375e-05,4.34375e-05,4.34375e-05
