epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,357.151,1.19902,1.78059,1.4291,0.89124,0.61272,0.64974,0.4349,1.05054,0.98494,1.27798,0.00333169,0.00333169,0.00333169
2,684.565,1.1401,1.13512,1.35185,0.89607,0.59142,0.64274,0.42766,1.05263,0.87195,1.26374,0.00663203,0.00663203,0.00663203
3,1005.5,1.20416,1.10338,1.39405,0.86876,0.54673,0.61363,0.40258,1.15773,1.05663,1.34505,0.00989937,0.00989937,0.00989937
4,1326.3,1.20889,1.06215,1.40505,0.91948,0.59261,0.68772,0.46157,1.0599,0.78691,1.27435,0.0098515,0.0098515,0.0098515
5,1647.15,1.15364,0.94826,1.36128,0.91933,0.60212,0.67905,0.47477,0.99984,0.72354,1.2252,0.009802,0.009802,0.009802
6,1968.08,1.11775,0.88329,1.3368,0.92256,0.6266,0.69494,0.49653,0.93661,0.64445,1.17536,0.0097525,0.0097525,0.0097525
7,2289.77,1.08937,0.83148,1.31543,0.92907,0.63197,0.69006,0.49672,0.9458,0.62529,1.17983,0.009703,0.009703,0.009703
8,2612.9,1.06741,0.80107,1.29919,0.93273,0.63557,0.69795,0.50763,0.93185,0.60352,1.17139,0.0096535,0.0096535,0.0096535
9,2935.49,1.05539,0.78167,1.29301,0.93347,0.63309,0.70819,0.51359,0.92054,0.57704,1.16029,0.009604,0.009604,0.009604
10,3256.77,1.03749,0.75604,1.27724,0.92831,0.6465,0.70343,0.5141,0.91059,0.56221,1.15442,0.0095545,0.0095545,0.0095545
11,3582.4,1.0305,0.74087,1.2696,0.94066,0.64486,0.72352,0.52943,0.89535,0.54869,1.14647,0.009505,0.009505,0.009505
12,3907.54,1.02345,0.73077,1.2667,0.93505,0.65169,0.7316,0.53095,0.88759,0.5325,1.13297,0.0094555,0.0094555,0.0094555
13,4230.57,1.0098,0.70952,1.25485,0.93307,0.65017,0.75487,0.5405,0.88934,0.52438,1.13777,0.009406,0.009406,0.009406
